index,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
726,35,15,124.8,101.2,18.9,4.7
727,35,15,126.5,104.0,18.5,4.0
728,35,15,120.2,98.3,20.5,1.4
729,35,15,127.1,105.0,18.8,3.2
730,35,20,122.4,97.9,21.7,2.9
731,35,20,124.3,100.5,21.4,2.3
732,35,20,120.7,95.9,22.2,2.6
733,35,20,123.9,99.2,22.3,2.5
734,35,20,124.8,99.2,22.5,3.1
735,35,20,124.6,99.0,21.9,3.7
736,35,20,122.7,98.6,21.6,2.5
737,35,20,130.4,105.7,19.7,5.1
738,35,20,119.7,95.2,22.9,1.6
739,35,20,123.1,99.2,21.7,2.3
740,35,25,123.2,95.9,22.7,4.7
741,35,25,126.0,98.4,23.5,4.2
742,35,25,123.9,98.3,22.1,3.5
743,35,25,117.9,92.0,22.2,3.7
744,35,25,126.8,100.8,22.7,3.4
745,35,25,122.7,96.6,22.8,3.2
746,35,25,121.4,94.2,22.7,4.5
747,35,25,121.8,93.6,24.3,3.9
748,35,25,117.6,90.2,25.2,2.2
749,35,25,118.3,92.1,23.3,2.8
750,35,30,121.6,93.3,25.5,2.8
751,35,30,123.0,93.9,26.2,2.9
752,35,30,123.7,95.3,23.9,4.5
753,35,30,113.3,84.6,27.1,1.6
754,35,30,117.6,88.9,25.8,2.9
755,35,30,120.4,91.3,25.9,3.2
756,35,30,121.1,94.2,24.3,2.6
757,35,30,118.8,89.4,26.0,3.4
758,35,30,116.9,88.0,27.3,1.6
759,35,30,122.0,92.2,25.7,4.1
760,35,35,124.2,92.9,27.5,3.8
761,35,35,120.4,89.3,28.8,2.3
762,35,35,125.2,95.0,26.9,3.3
763,35,35,120.6,90.2,28.5,1.9
764,35,35,117.6,88.0,28.1,1.5
765,35,35,127.0,96.4,26.6,4.0
766,35,35,120.5,90.0,28.2,2.3
767,35,35,120.6,90.0,28.6,2.0
768,35,35,123.6,92.3,28.8,2.5
769,35,35,123.6,92.3,28.7,2.6
770,35,40,126.6,94.0,29.2,3.4
771,35,40,121.2,88.0,31.1,2.1
772,35,40,118.3,85.4,31.5,1.5
773,35,40,120.0,86.6,32.1,1.3
774,35,40,117.6,83.8,32.1,1.7
775,35,40,120.4,87.4,30.6,2.4
776,35,40,129.0,97.0,28.4,3.6
777,35,40,118.5,86.8,29.0,2.7
778,35,40,120.6,88.0,29.9,2.6
779,35,40,125.3,92.6,29.3,3.4
780,35,45,125.8,90.1,32.4,3.3
781,35,45,124.0,88.4,34.0,1.6
782,35,45,126.9,91.0,33.1,2.8
783,35,45,118.9,83.0,34.5,1.4
784,35,45,124.7,89.6,33.1,2.0
785,35,45,122.4,87.4,32.8,2.2
786,35,45,123.5,89.0,32.3,2.2
787,35,45,123.2,88.0,34.3,1.0
788,35,45,122.2,87.4,33.4,1.4
789,35,45,125.4,89.4,34.4,1.7
790,35,50,127.1,90.3,35.4,1.4
791,35,50,126.8,89.8,34.5,2.5
792,35,50,127.0,89.0,35.9,2.0
793,35,50,122.5,85.3,35.7,1.5
794,35,50,121.5,84.4,35.4,1.7
795,35,50,127.2,89.0,36.1,2.1
796,35,50,125.4,87.2,36.5,1.6
797,35,50,124.2,88.1,34.1,2.0
798,35,50,124.2,86.3,35.8,2.1
799,35,50,122.8,84.7,35.4,2.7
800,40,5,126.6,106.6,15.4,4.6
801,40,5,125.6,105.0,15.2,5.3
802,40,5,126.7,106.7,14.5,5.5
803,40,5,125.5,106.1,14.5,4.9
804,40,5,123.4,102.0,16.8,4.6
805,40,5,128.8,106.9,15.1,6.8
806,40,5,125.9,104.5,15.2,6.2
807,40,5,123.5,104.0,15.6,3.8
808,40,5,122.9,104.0,15.2,3.7
809,40,5,133.4,111.7,13.2,8.6
810,40,10,126.2,104.5,19.9,1.8
811,40,10,126.7,104.8,19.1,2.9
812,40,10,124.1,100.7,20.9,2.5
813,40,10,126.2,104.7,19.5,1.9
814,40,10,127.9,106.2,19.3,2.4
815,40,10,131.2,109.8,18.7,2.7
816,40,10,130.3,108.9,18.2,3.3
817,40,10,125.7,104.3,19.1,2.3
818,40,10,122.7,100.0,20.9,1.9
819,40,10,125.8,105.3,18.7,1.7
820,40,15,126.1,100.6,23.2,2.2
821,40,15,128.1,102.8,22.9,2.4
822,40,15,127.4,103.1,23.4,0.8
823,40,15,127.1,102.6,22.6,1.9
824,40,15,125.6,101.3,23.7,0.6
825,40,15,124.9,99.6,24.6,0.7
826,40,15,131.7,107.8,21.4,2.5
827,40,15,131.2,108.3,20.7,2.2
828,40,15,127.8,102.4,23.6,1.7
829,40,15,126.3,101.0,24.1,1.2
830,40,20,128.0,100.6,25.3,2.1
831,40,20,126.2,98.7,26.3,1.2
832,40,20,124.2,96.0,26.9,1.2
833,40,20,129.3,101.8,25.4,2.0
834,40,20,128.7,101.1,26.5,1.1
835,40,20,124.6,96.9,26.4,1.2
836,40,20,125.3,97.3,26.4,1.6
837,40,20,127.0,99.4,25.5,2.1
838,40,20,124.4,97.1,25.6,1.8
839,40,20,126.4,100.0,25.6,0.8
840,40,25,123.5,92.2,29.4,1.9
841,40,25,122.5,93.0,28.6,1.0
842,40,25,129.2,99.8,27.6,1.7
843,40,25,125.7,95.2,28.7,1.7
844,40,25,125.4,96.9,26.8,1.7
845,40,25,122.7,92.8,28.3,1.5
846,40,25,122.7,93.0,29.0,0.6
847,40,25,127.0,99.0,26.4,1.6
848,40,25,124.5,93.8,28.5,2.2
849,40,25,125.1,95.5,27.3,2.3
850,40,30,127.0,96.5,28.2,2.2
851,40,30,124.9,93.0,30.1,1.8
852,40,30,128.1,96.9,29.2,2.0
853,40,30,126.8,94.1,30.4,2.2
854,40,30,116.6,83.2,32.9,0.6
855,40,30,130.3,99.5,28.1,2.6
856,40,30,124.3,92.2,30.7,1.3
857,40,30,125.2,93.5,29.3,2.4
858,40,30,119.2,85.8,32.0,1.4
859,40,30,119.9,89.0,29.6,1.4
860,40,35,124.2,90.1,32.9,1.2
861,40,35,128.6,94.5,32.2,1.9
862,40,35,127.2,94.1,31.4,1.7
863,40,35,127.0,92.7,33.1,1.1
864,40,35,126.8,91.9,32.5,2.4
865,40,35,130.2,96.8,32.3,1.2
866,40,35,125.0,90.2,34.3,0.6
867,40,35,125.7,92.8,30.2,2.7
